"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",3.80146271263278,0.0759600344293608,0,"relative convergence (4)",338.959165728067,339.302022870924,38,"FULL",0.6,20,0.954119532316221,66.3788248623161
"gamma",1.73491696083404,0.0357800229517264,0,"relative convergence (4)",492.879266933485,493.053179976963,72,"RP",0.7,20,0.0731346203364049,1406.40837928768
"weibull",1.34027115638453,50.4294629090138,0,"relative convergence (4)",293.097397430689,293.390080357518,44,"RP",0.9,20,0.0911764789401627,536.20066772894
"gamma",1.52233808801455,0.0273985069040083,0,"relative convergence (4)",493.354034464481,493.589328582129,54,"FULL",0.4,21,0.856110653313997,157.689896133655
"gamma",2.47305790596168,0.0503051191522013,0,"relative convergence (4)",326.088384078996,326.452020442632,36,"FULL",0.6,21,0.928673974140001,64.6082496880168
"gamma",1.65773081531489,0.0236401169861726,0,"relative convergence (4)",534.081901825185,534.248568491851,75,"RP",0.7,21,0.0494613336077347,2166.19426383809
"gamma",1.56985284538418,0.0319501933157911,0,"relative convergence (4)",251.861907214189,252.21484839066,37,"RP",0.9,21,0.0827215024297685,496.982161875202
"norm",42.2069699418964,27.7989257010628,0,"relative convergence (4)",544.060866678042,544.271392993831,60,"FULL",0.4,22,0.916719752961424,163.626887623433
"gamma",2.18484849977373,0.0531072716749962,0,"relative convergence (4)",304.442155428211,304.829252202405,34,"FULL",0.6,22,0.959810146489042,59.0394536606554
"llog",0.797682986645611,6.13631081231544,0,"relative convergence (4)",539.136050189299,539.302716855965,75,"RP",0.7,22,0.00780944564890817,13719.6495064713
"gamma",1.70270754794426,0.0531836830503285,0,"relative convergence (4)",258.407725509161,258.715417816854,42,"RP",0.9,22,0.123436034664106,378.063559751057
"weibull",1.83181966410782,42.3324761932719,0,"relative convergence (4)",475.26664208087,475.501936198517,54,"FULL",0.4,23,0.992006315050408,136.087843345171
"norm",36.7533992677229,21.9580298617,0,"relative convergence (4)",361.661546498561,361.977335972245,41,"FULL",0.6,23,0.950929032628491,71.8595510166002
"gamma",1.43300453416076,0.028060896012636,0,"relative convergence (4)",491.98194271001,492.148609376677,75,"RP",0.7,23,0.0898879359626701,1191.96036704361
"gamma",1.27253299372733,0.00383939799799635,0,"relative convergence (4)",327.920461091667,328.199530859109,46,"RP",0.9,23,0.0128958275298437,3963.38358223456
"weibull",2.03574258025338,54.6999222289032,0,"relative convergence (4)",585.077180350366,585.270728737462,65,"FULL",0.4,24,0.967123827344685,168.023985559488
"norm",33.0051401482476,31.4091851616037,0,"relative convergence (4)",318.401069117556,318.776069117556,35,"FULL",0.6,24,0.836863885633364,69.7046847578862
"weibull",1.69905453778094,37.6433521492714,0,"relative convergence (4)",504.586619864622,504.755633949129,74,"RP",0.7,24,0.0863614096691778,1224.0917108607
"gamma",1.33954621623393,0.0215355752837041,0,"relative convergence (4)",322.49464201775,322.755511582968,49,"RP",0.9,24,0.0798474898418,681.855429047475
"weibull",1.841783248827,50.962333698822,0,"relative convergence (4)",540.915866739006,541.126393054795,60,"FULL",0.4,25,0.968597078421234,154.863155528502
"gamma",1.74582583015625,0.0459169968987199,0,"relative convergence (4)",285.588500740642,286.00229384409,32,"FULL",0.6,25,0.960252692870923,55.5409359737171
"weibull",1.29901096147188,53.760091280727,0,"relative convergence (4)",414.011408722083,414.211408722083,63,"RP",0.7,25,0.0898300745585476,1001.89163197612
"llog",0.645827524054852,3.86435520644093,0,"relative convergence (4)",335.244661844725,335.505531409942,49,"RP",0.9,25,0.068711887130484,792.358450890082
"weibull",1.34489954570397,53.1044802867293,0,"relative convergence (4)",528.568752149141,528.786933967323,58,"FULL",0.4,26,0.903908409677613,160.414482759061
"llog",0.636187639910607,3.89144064316457,0,"relative convergence (4)",293.097699456836,293.511492560284,32,"FULL",0.6,26,0.754338247393791,70.7021465736331
"llog",0.686336082152109,4.18667281291946,0,"relative convergence (4)",500.482481875935,500.653910447363,73,"RP",0.7,26,0.0526550036650282,1980.54709005704
"weibull",1.29904126240861,42.4807778259568,0,"relative convergence (4)",318.824614714851,319.079933863787,50,"RP",0.9,26,0.11534005600059,481.667492473485
"weibull",2.16333682366701,51.3475504694147,0,"relative convergence (4)",446.076878651257,446.332197800193,50,"FULL",0.4,27,0.985433850027989,126.84768236493
"weibull",1.66287469881681,43.883814631035,0,"relative convergence (4)",287.277478368897,287.691271472345,32,"FULL",0.6,27,0.980429189227326,54.3979452257692
"llog",0.584059435273553,3.49827016212731,0,"relative convergence (4)",444.520826880274,444.708326880274,67,"RP",0.7,27,0.0909350249495653,1052.55687527849
"gamma",1.30855255369543,0.0344252284868686,0,"relative convergence (4)",245.44620669887,245.761996172555,41,"RP",0.9,27,0.137986209498142,330.145713265418
"norm",34.2713295479974,31.8375093834536,0,"relative convergence (4)",544.395672078731,544.60619839452,60,"FULL",0.4,28,0.839650899185546,178.645673035661
"llog",0.552427743791045,3.63185856380075,0,"relative convergence (4)",297.080080799838,297.480080799838,33,"FULL",0.6,28,0.853445012440096,64.4446908685409
"norm",252.078803761424,673.408682992408,0,"X-convergence (3)",463.080863572883,463.24987765739,74,"RP",0.7,28,0.00495695146964733,21326.471796547
"norm",33.1608844977637,24.6665579773455,0,"relative convergence (4)",314.408817097601,314.681544370328,47,"RP",0.9,28,0.0787542833326981,663.103262607432
"norm",43.8298426670868,25.2739317858806,0,"relative convergence (4)",424.32680439,424.599531662727,47,"FULL",0.4,29,0.945431651211725,124.281855646999
"norm",33.8333704680732,27.0837577388939,0,"relative convergence (4)",314.892396992669,315.267396992669,35,"FULL",0.6,29,0.886924214620871,65.7703695216719
"gamma",1.57807308846751,0.0359829442748556,0,"both X-convergence and relative convergence (5)",403.989193574454,404.189193574454,63,"RP",0.7,29,0.0937654038438654,959.84229055169
"gamma",1.44199402036481,0.0406758345685568,0,"relative convergence (4)",231.053746528319,231.396603671176,38,"RP",0.9,29,0.132757134112345,318.041079332821
"norm",41.1786781712194,26.5909414592642,0,"relative convergence (4)",577.505354123229,577.702075434705,64,"FULL",0.4,30,0.925780276557088,172.827185944195
