"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",1.98348291141564,0.045379863386625,0,"relative convergence (4)",652.874066091102,653.007399424435,93,"RP",0.9,11,0.0695825389655361,1485.04689351037
"llog",0.539274537245842,3.71139721431351,0,"relative convergence (4)",949.75524818981,949.871753044179,106,"FULL",0.4,12,0.839883526641443,315.519940079896
"weibull",1.44734599444848,57.038625241293,0,"relative convergence (4)",703.089866762448,703.25202892461,77,"FULL",0.6,12,0.894996377537556,143.389779617235
"weibull",1.71862220844935,32.6288761082861,0,"relative convergence (4)",963.516669620984,963.600002954317,147,"RP",0.7,12,0.101223681445211,2074.61334148044
"gamma",1.81091155189417,0.0367745364287722,0,"relative convergence (4)",529.611000031151,529.771000031151,78,"RP",0.9,12,0.0675751449984893,1282.52283688928
"llog",0.543036442767198,3.85190198620847,0,"relative convergence (4)",1165.4224615769,1165.51769967213,129,"FULL",0.4,13,0.800135453000872,403.056755941107
"weibull",1.71484451462613,48.6713832278631,0,"relative convergence (4)",745.409263962816,745.559263962816,83,"FULL",0.6,13,0.96786377686409,142.926449610024
"llog",0.591927579527538,3.96593836725835,0,"relative convergence (4)",1257.40199085156,1257.47017266974,179,"RP",0.7,13,0.0517207788356502,4944.13060806475
"gamma",1.8565973993783,0.0328503315987937,0,"relative convergence (4)",806.982729762402,807.093840873513,111,"RP",0.9,13,0.0546677524059487,2256.0527533214
"llog",0.74390897778157,4.1433459797073,0,"relative convergence (4)",1294.26739953082,1294.35373046607,142,"FULL",0.4,14,0.650402159248467,545.816146136721
"norm",35.3083748941348,37.7538819606785,0,"relative convergence (4)",768.251393220537,768.399541368685,84,"FULL",0.6,14,0.781854377076751,179.061477564967
"gamma",1.73463639268148,0.0339577549226733,0,"relative convergence (4)",1122.98740679366,1123.06335616074,161,"RP",0.7,14,0.0685809649668407,3353.70025941172
"weibull",1.68148880144884,42.7023087393499,0,"X-convergence (3)",658.918667339222,659.047699597286,96,"RP",0.9,14,0.0752216403451623,1418.03164856836
"norm",37.9222140236724,24.4417339923106,0,"relative convergence (4)",1110.50647979158,1110.60484044732,125,"FULL",0.4,15,0.93406791814467,334.558112884035
"gamma",1.60920257033344,0.0260278947364583,0,"relative convergence (4)",786.684903033763,786.829481347016,86,"FULL",0.6,15,0.820647549915342,174.658820766747
"gamma",1.77281477686008,0.0288076229418134,0,"relative convergence (4)",1168.48785843175,1168.56239259324,164,"RP",0.7,15,0.0525042263154373,4462.22581927333
"llog",0.598510150334276,3.78682395310886,0,"relative convergence (4)",639.066006066455,639.199339399789,93,"RP",0.9,15,0.0660836345170788,1563.67509275882
"weibull",1.47313160982739,48.989420566805,0,"relative convergence (4)",1244.30572845823,1244.39461734712,138,"FULL",0.4,16,0.942789322518597,365.935412885623
"gamma",2.37796618552628,0.0526112488305268,0,"relative convergence (4)",795.895057054563,796.034591938284,89,"FULL",0.6,16,0.946590191773331,156.702799820319
"weibull",1.58502525225089,48.5848758503683,0,"relative convergence (4)",1139.6690211154,1139.74355527689,164,"RP",0.7,16,0.0710818348796619,3295.99981039247
"gamma",1.76662807035038,0.0372302236623869,0,"relative convergence (4)",614.929265939398,615.06719697388,90,"RP",0.9,16,0.0732613761613518,1364.97572444938
"gamma",1.70056763392387,0.0377206462760079,0,"relative convergence (4)",1006.08318565326,1006.19327739638,112,"FULL",0.4,17,0.924649576875546,302.817420785655
"llog",0.707631442523371,4.12591211837436,0,"relative convergence (4)",722.354323836422,722.512218573264,79,"FULL",0.6,17,0.663129281907877,198.55354040143
"gamma",1.99920987041264,0.0524410052017121,0,"relative convergence (4)",984.548157377349,984.630349158171,149,"RP",0.7,17,0.08224323509003,2588.14165838847
