"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",2.02319458006458,0.0507805791716865,0,"relative convergence (4)",1028.37550093649,1028.45658201757,151,"RP",0.7,23,0.0765121183382135,2819.34797257533
"gamma",1.6886388728188,0.0248958923425549,0,"relative convergence (4)",585.28656843926,585.440414593106,81,"RP",0.9,23,0.0500637660587782,1797.70734575449
"weibull",1.60537248692617,39.3225177784192,0,"relative convergence (4)",1085.68248171779,1085.78165527151,124,"FULL",0.4,24,0.988604922435154,313.573190831784
"gamma",2.89425442637983,0.0734359500991154,0,"relative convergence (4)",751.91386115809,752.058439471343,86,"FULL",0.6,24,0.979974471448669,146.262313467664
"llog",0.513281067342013,3.38166628866625,0,"relative convergence (4)",1102.82603504431,1102.89920577602,167,"RP",0.7,24,0.0872625377555283,2733.95015441565
"gamma",2.06203615724006,0.0474625900994993,0,"relative convergence (4)",615.90393540744,616.043470291161,89,"RP",0.9,24,0.0666491988749141,1483.72209356157
"gamma",1.67304491121236,0.0386122855846385,0,"relative convergence (4)",1216.93756532634,1217.02779089025,136,"FULL",0.4,25,0.932788726308269,364.498401846718
"gamma",2.36211787220637,0.0646134945685521,0,"relative convergence (4)",768.184862271171,768.32603874176,88,"FULL",0.6,25,0.980002214078111,149.659525825292
"gamma",2.19067756582999,0.0525138196898011,0,"relative convergence (4)",1325.48437164669,1325.54923651155,188,"RP",0.7,25,0.065074595502365,4127.13174009154
"gamma",2.22391103768492,0.0693453233133692,0,"relative convergence (4)",635.234912020205,635.361227809679,98,"RP",0.9,25,0.0909680648807871,1197.00126667075
"gamma",2.66417176895041,0.0652268630245838,0,"relative convergence (4)",1223.0123218357,1223.10055712982,139,"FULL",0.4,26,0.971606684684403,357.655011516182
"gamma",2.1705990847089,0.0597587484096002,0,"relative convergence (4)",761.209421149645,761.352278292502,87,"FULL",0.6,26,0.977207108085963,148.382056168225
"gamma",2.2474503051602,0.0625558325316417,0,"relative convergence (4)",1159.17709017469,1159.24937933132,169,"RP",0.7,26,0.0771003885927046,3131.35349685405
"llog",0.574442877600327,3.65713399318153,0,"relative convergence (4)",556.830949501811,556.980949501811,83,"RP",0.9,26,0.0725795048413133,1270.63724702801
"llog",0.478880488942684,3.61383842153117,0,"both X-convergence and relative convergence (5)",1195.21687465931,1195.30778375021,135,"FULL",0.4,27,0.887963172957394,380.083330343469
"weibull",1.46072676001766,43.5153206808981,0,"relative convergence (4)",706.33295642034,706.490851157182,79,"FULL",0.6,27,0.965667735740466,136.347795202773
"gamma",2.40317318902352,0.0586728051232839,0,"relative convergence (4)",1090.43479713251,1090.51533404526,152,"RP",0.7,27,0.0594320469269508,3653.63248231635
"gamma",2.94192322813902,0.107163865438898,0,"relative convergence (4)",591.496909882738,591.636444766458,89,"RP",0.9,27,0.0835708777031246,1183.29364973501
"gamma",1.85258811789992,0.0522224492195209,0,"relative convergence (4)",1145.66742529209,1145.76117529209,131,"FULL",0.4,28,0.972947899137059,336.605896667716
"llog",0.478510539805249,3.50058151624337,0,"relative convergence (4)",791.108443069872,791.246374104355,90,"FULL",0.6,28,0.909569468252887,164.913187211662
"gamma",2.35888107327896,0.0725575723049899,0,"relative convergence (4)",1301.93332249777,1301.99582249777,195,"RP",0.7,28,0.0834726966301203,3337.27601740027
