"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.334419965385588,3.43874442074281,0,"relative convergence (4)",1094.90589669402,1095.000384883,130,"FULL",0.4,9,0.970341723660597,334.93355183568
"llog",0.358778221069311,3.60012928323763,0,"both X-convergence and relative convergence (5)",764.045453102946,764.186629573534,88,"FULL",0.6,9,0.942745352033733,155.574001346462
"gamma",3.35180220055193,0.0993368695324178,0,"relative convergence (4)",820.12624567371,820.23839520642,110,"RP",0.7,9,0.0540770110423128,2905.90870527034
"gamma",3.10706853880917,0.0909037779896539,0,"relative convergence (4)",478.689535495483,478.886256806959,64,"RP",0.9,9,0.057315610119946,1240.69360794197
"llog",0.389765618230496,3.40296626421829,0,"relative convergence (4)",1179.46474626274,1179.55363515163,138,"FULL",0.4,10,0.956245818812873,360.785891255764
"weibull",1.9139693026582,40.9859708464735,0,"relative convergence (4)",728.302653610918,728.450801759066,84,"FULL",0.6,10,0.995966846978497,140.566927930105
"llog",0.391001695496112,3.49092860628557,0,"relative convergence (4)",909.303711290058,909.40715956592,119,"RP",0.7,10,0.0510345634937451,3331.07581141231
"weibull",2.16306267921867,47.5852372835305,0,"relative convergence (4)",491.425859334374,491.632755886098,61,"RP",0.9,10,0.043784137955387,1547.99845201563
"llog",0.353297595023344,3.48662608918967,0,"relative convergence (4)",1201.71026654648,1201.79722306822,141,"FULL",0.4,11,0.959534987602045,367.365447382931
"gamma",3.33160965212777,0.10345126185085,0,"relative convergence (4)",769.675273442812,769.810104903487,92,"FULL",0.6,11,0.996620128222802,153.853337887888
"llog",0.415141153582259,3.33853813506981,0,"relative convergence (4)",730.360957518741,730.479769399929,104,"RP",0.7,11,0.0685996520024662,2165.77525154336
"gamma",2.90770862976553,0.0852868697334862,0,"relative convergence (4)",492.356028470327,492.540643854942,68,"RP",0.9,11,0.0617203577989944,1224.15939002846
"llog",0.3907126859182,3.53491825645893,0,"relative convergence (4)",1127.21778767228,1127.31227586126,130,"FULL",0.4,12,0.939302213839748,346.001526677385
"gamma",3.20481031908093,0.0850919839113506,0,"relative convergence (4)",837.211413156071,837.339072730539,97,"FULL",0.6,12,0.98795173263121,163.638223738016
"weibull",2.41053322458234,43.1377737781062,0,"relative convergence (4)",908.418496205866,908.527587114957,113,"RP",0.7,12,0.0427757094846675,3773.83738045149
"gamma",2.73427897208382,0.0633004226389213,0,"relative convergence (4)",482.74672201782,482.94672201782,63,"RP",0.9,12,0.0473548843162413,1478.20021125027
"llog",0.47348331166026,3.59824291800379,0,"both X-convergence and relative convergence (5)",1080.18528438204,1080.28612471817,122,"FULL",0.4,13,0.8934653522029,341.367462373333
"gamma",2.27825791744521,0.0538968225666365,0,"relative convergence (4)",756.381581491453,756.527922954868,85,"FULL",0.6,13,0.957408355148951,147.968905749341
"llog",0.370046758251833,3.53312922278404,0,"relative convergence (4)",1066.78147667993,1066.87036556882,138,"RP",0.7,13,0.0449814795087138,4382.75617645406
"llog",0.400875688832457,3.45090350632254,0,"relative convergence (4)",448.343277522613,448.553803838402,60,"RP",0.9,13,0.0557683077176908,1195.42208460306
"llog",0.386373387390365,3.43210731143188,0,"relative convergence (4)",949.79141657083,949.902527681941,111,"FULL",0.4,14,0.954178008649705,290.82623733144
"gamma",3.26036937800594,0.0867498172462875,0,"relative convergence (4)",741.705158145176,741.849736458429,86,"FULL",0.6,14,0.988621051599746,144.983088415321
"gamma",2.98652792508854,0.0785791395524418,0,"both X-convergence and relative convergence (5)",931.016984126809,931.116984126809,123,"RP",0.7,14,0.0513923786599463,3419.07283328826
"gamma",3.04069875706695,0.0905524035255226,0,"relative convergence (4)",352.670973816569,352.931843381787,49,"RP",0.9,14,0.0601368384654188,905.342645768654
"llog",0.458935745384743,3.67212519205174,0,"relative convergence (4)",1261.08264758286,1261.16897851811,142,"FULL",0.4,15,0.884224945403038,401.481548157621
"llog",0.383417197552674,3.47727833153547,0,"relative convergence (4)",723.869523514814,724.017671662963,84,"FULL",0.6,15,0.949868928829949,147.388756228138
"gamma",3.16025468716658,0.0992560502772146,0,"relative convergence (4)",962.844419696007,962.938169696007,131,"RP",0.7,15,0.0623937993358954,2999.38229655448
"gamma",3.27282042231868,0.0926107308940115,0,"relative convergence (4)",487.450160022703,487.6437084098,65,"RP",0.9,15,0.0518336891092669,1393.3452058559
"llog",0.445114919148447,3.57619590175184,0,"relative convergence (4)",1117.48105237026,1117.57782656381,127,"FULL",0.4,16,0.909841795264283,348.96176637805
